category_low_id,week_num,region,cl_cnt
1202,46,Niigata,864
1202,46,Tokyo,144
1999,1,Niigata,542
1999,1,Tokyo,19
1999,2,Niigata,694
1999,2,Tokyo,21
1999,3,Niigata,621
1999,3,Tokyo,17
1999,4,Niigata,645
1999,4,Tokyo,54
1999,5,Niigata,669
1999,5,Tokyo,36
1999,6,Niigata,1021
1999,6,Tokyo,53
1999,7,Niigata,1431
1999,7,Tokyo,28
1999,8,Niigata,1056
1999,8,Tokyo,37
1999,9,Niigata,556
1999,9,Tokyo,26
1999,10,Niigata,619
1999,10,Tokyo,21
1999,11,Niigata,590
1999,11,Tokyo,43
1999,12,Niigata,644
1999,12,Tokyo,27
1999,13,Niigata,509
1999,13,Tokyo,24
1999,14,Niigata,646
1999,14,Tokyo,690
1999,15,Niigata,490
1999,15,Tokyo,283
1999,16,Niigata,477
1999,16,Tokyo,710
1999,17,Niigata,586
1999,17,Tokyo,307
1999,18,Niigata,529
1999,18,Tokyo,417
1999,19,Niigata,711
1999,19,Tokyo,641
1999,20,Niigata,551
1999,20,Tokyo,683
1999,21,Niigata,663
1999,21,Tokyo,1891
1999,22,Niigata,502
1999,22,Tokyo,1591
1999,23,Niigata,615
1999,23,Tokyo,1910
1999,24,Niigata,565
1999,24,Tokyo,1355
1999,25,Niigata,544
1999,25,Tokyo,726
1999,26,Niigata,566
1999,26,Tokyo,586
1999,27,Niigata,575
1999,27,Tokyo,1140
1999,28,Niigata,566
1999,28,Tokyo,1654
1999,29,Niigata,526
1999,29,Tokyo,1668
1999,30,Niigata,528
1999,30,Tokyo,2862
1999,31,Niigata,636
1999,31,Tokyo,3161
1999,32,Niigata,592
1999,32,Tokyo,3404
1999,33,Niigata,545
1999,33,Tokyo,2645
1999,34,Niigata,690
1999,34,Tokyo,2905
1999,35,Niigata,715
1999,35,Tokyo,5092
1999,36,Niigata,663
1999,36,Tokyo,6927
1999,37,Niigata,685
1999,37,Tokyo,8151
1999,38,Niigata,617
1999,38,Tokyo,5884
1999,39,Niigata,557
1999,39,Tokyo,5935
1999,40,Niigata,647
1999,40,Tokyo,5505
1999,41,Niigata,627
1999,41,Tokyo,8018
1999,42,Niigata,739
1999,42,Tokyo,8260
1999,43,Niigata,666
1999,43,Tokyo,8961
1999,44,Niigata,572
1999,44,Tokyo,10466
1999,45,Niigata,587
1999,45,Tokyo,15572
1999,46,Niigata,543
1999,46,Tokyo,15335
2000,1,Niigata,14537
2000,1,Tokyo,8867
2000,2,Niigata,13648
2000,2,Tokyo,8326
2000,3,Niigata,13125
2000,3,Tokyo,8839
2000,4,Niigata,11261
2000,4,Tokyo,9080
2000,5,Niigata,13350
2000,5,Tokyo,10502
2000,6,Niigata,13563
2000,6,Tokyo,10812
2000,7,Niigata,10647
2000,7,Tokyo,10887
2000,8,Niigata,11092
2000,8,Tokyo,12301
2000,9,Niigata,13019
2000,9,Tokyo,12431
2000,10,Niigata,11521
2000,10,Tokyo,12606
2000,11,Niigata,10534
2000,11,Tokyo,13372
2000,12,Niigata,10358
2000,12,Tokyo,11566
2000,13,Niigata,9645
2000,13,Tokyo,10057
2000,14,Niigata,12600
2000,14,Tokyo,10407
2000,15,Niigata,8567
2000,15,Tokyo,9555
2000,16,Niigata,9430
2000,16,Tokyo,8169
2000,17,Niigata,8560
2000,17,Tokyo,7602
