category_min_id,week_num,cv_cnt
179,26,11
179,27,8
179,28,12
179,29,12
179,30,10
179,31,19
179,32,16
179,33,18
179,34,15
179,35,18
179,36,26
179,37,20
179,38,23
179,39,13
179,40,17
179,41,15
179,42,16
179,43,13
179,44,21
179,45,9
180,1,42
180,2,56
180,3,61
180,4,62
180,5,70
180,6,46
180,7,61
180,8,66
180,9,84
180,10,78
180,11,64
180,12,57
180,13,68
180,14,59
180,15,63
180,16,64
180,17,69
180,18,37
180,19,62
180,20,58
180,21,45
180,22,69
180,23,63
180,24,56
180,25,63
180,26,52
180,27,42
180,28,58
180,29,65
180,30,52
180,31,61
180,32,42
180,33,61
180,34,67
180,35,68
180,36,63
180,37,59
180,38,54
180,39,74
180,40,65
180,41,40
180,42,49
180,43,47
180,44,51
180,45,41
181,1,12
181,2,18
181,3,15
181,4,9
181,5,21
181,6,17
181,7,17
181,8,25
181,9,17
181,10,20
181,11,21
181,12,25
181,13,31
181,14,20
181,15,22
181,16,20
181,17,41
181,18,13
181,19,25
181,20,22
181,21,19
181,22,24
181,23,35
181,24,26
181,25,27
181,26,26
181,27,14
181,28,24
181,29,29
181,30,20
181,31,17
181,32,11
181,33,23
181,34,21
181,35,25
181,36,34
181,37,33
181,38,24
181,39,35
181,40,31
181,41,15
181,42,20
181,43,22
181,44,23
181,45,34
182,1,14
182,2,28
182,3,22
182,4,18
182,5,11
182,6,11
182,7,15
182,8,14
182,9,18
182,10,17
182,11,10
182,12,11
182,13,9
182,14,10
182,15,5
182,16,7
182,17,17
182,18,8
182,19,13
182,20,11
182,21,7
182,22,10
182,23,12
182,24,6
182,25,13
182,26,10
182,27,6
182,28,8
182,29,8
182,30,11
182,31,4
182,32,9
182,33,4
182,34,10
182,35,7
182,36,6
182,37,11
182,38,9
182,39,8
182,40,12
182,41,6
182,42,9
182,43,6
182,44,7
182,45,8
183,6,1
183,7,1
183,11,1
183,12,4
183,19,4
183,26,4
183,28,5
183,29,2
183,31,2
183,34,1
183,35,4
183,36,2
183,37,1
183,38,2
183,39,2
183,42,4
183,43,4
183,44,3
183,45,2
184,1,27
184,2,47
184,3,39
184,4,28
184,5,49
184,6,41
184,7,39
184,8,54
184,9,43
184,10,50
184,11,46
184,12,47
184,13,31
184,14,35
184,15,31
184,16,46
184,17,32
184,18,28
184,19,46
184,20,36
184,21,42
184,22,35
184,23,28
184,24,21
184,25,20
184,26,10
184,27,22
184,28,24
184,29,12
184,30,24
184,31,21
184,32,8
184,33,9
184,34,16
184,35,14
184,36,14
184,37,21
184,38,10
184,39,22
184,40,18
184,41,12
184,42,14
184,43,13
184,44,12
184,45,11
185,1,5
185,2,6
185,3,4
185,4,4
185,5,6
185,7,5
185,8,8
185,9,4
185,10,7
185,11,5
185,12,6
185,13,7
185,14,3
185,15,5
185,16,9
185,17,10
185,18,18
185,19,12
185,20,8
185,21,13
185,22,10
185,23,8
185,24,8
185,25,12
185,26,8
185,27,9
185,28,5
185,29,6
185,30,5
185,31,2
185,32,1
185,33,6
185,34,7
185,35,4
185,36,6
185,37,3
185,38,4
185,39,8
185,40,6
185,41,7
185,42,4
185,43,2
185,44,5
185,45,2
186,1,763
186,2,895
186,3,962
186,4,1011
186,5,990
186,6,886
186,7,922
186,8,977
186,9,973
186,10,897
186,11,1110
186,12,1273
186,13,1353
186,14,1053
186,15,1131
186,16,1355
186,17,1168
186,18,1216
186,19,1361
186,20,1647
186,21,1784
186,22,1785
186,23,1577
186,24,1557
186,25,1611
186,26,1720
186,27,1664
186,28,1419
186,29,1594
186,30,1586
186,31,1285
186,32,865
186,33,1195
186,34,1270
186,35,1133
186,36,1016
186,37,941
186,38,924
186,39,954
186,40,794
186,41,770
186,42,711
186,43,692
186,44,641
186,45,699
187,1,10
187,2,12
187,3,14
187,4,12
187,5,6
187,6,9
187,7,10
187,8,6
187,9,7
187,10,11
187,11,20
187,12,10
187,13,16
187,14,16
187,15,13
187,16,21
187,17,16
187,18,12
187,19,13
187,20,15
187,21,17
187,22,18
187,23,18
187,24,11
187,25,16
187,26,18
187,27,15
187,28,9
187,29,11
187,30,12
187,31,7
187,32,13
187,33,14
187,34,17
187,35,14
187,36,8
187,37,11
187,38,6
187,39,8
187,40,6
187,41,9
187,42,7
187,43,10
187,44,5
187,45,7
188,1,6
188,2,4
188,3,2
188,4,3
188,5,3
188,6,2
188,7,4
188,8,4
188,9,5
188,10,1
188,11,2
188,12,1
188,13,1
188,14,1
188,15,3
188,16,2
188,18,3
188,19,3
188,20,1
188,21,2
188,22,3
188,23,3
188,24,1
188,25,1
188,26,3
188,27,4
188,28,2
188,30,2
188,31,5
188,32,6
188,33,5
188,34,6
188,35,6
188,36,1
188,37,2
188,38,1
188,39,4
188,40,2
188,41,2
188,42,1
188,43,1
188,44,2
188,45,5
189,1,101
189,2,122
189,3,129
189,4,141
189,5,146
189,6,132
189,7,116
189,8,144
189,9,139
189,10,150
189,11,150
189,12,173
189,13,158
189,14,208
189,15,201
189,16,197
189,17,222
189,18,218
189,19,233
189,20,236
189,21,265
189,22,272
189,23,250
189,24,229
189,25,262
189,26,236
189,27,252
189,28,201
189,29,219
189,30,204
189,31,191
189,32,196
189,33,200
189,34,182
189,35,174
189,36,188
189,37,157
189,38,155
189,39,129
189,40,133
189,41,150
189,42,118
189,43,98
189,44,112
189,45,127
190,2,4
190,3,2
190,4,1
190,5,4
190,6,3
190,7,3
190,8,4
190,9,3
190,10,1
190,12,3
190,13,5
190,14,1
190,15,4
190,16,4
190,17,4
190,18,3
190,19,6
190,20,3
190,21,7
190,22,6
190,23,3
190,24,2
190,25,5
190,26,6
190,27,1
190,28,4
190,29,6
190,30,3
190,32,5
190,33,2
190,34,2
190,35,9
190,36,2
190,37,3
190,38,2
190,39,5
190,40,2
190,41,6
190,42,3
190,43,3
190,44,6
190,45,4
191,1,77
191,2,96
191,3,95
191,4,92
191,5,111
191,6,99
191,7,94
191,8,99
191,9,98
191,10,102
191,11,100
191,12,109
191,13,115
191,14,140
191,15,129
191,16,139
191,17,154
191,18,138
191,19,156
191,20,166
191,21,156
191,22,160
191,23,151
191,24,135
191,25,144
191,26,155
191,27,152
191,28,112
191,29,146
191,30,125
191,31,108
191,32,101
191,33,113
191,34,115
191,35,95
191,36,114
191,37,88
191,38,96
191,39,74
191,40,88
191,41,97
191,42,80
191,43,70
191,44,80
191,45,77
192,1,110
192,2,123
192,3,112
192,4,113
192,5,131
192,6,128
192,7,132
192,8,130
192,9,141
192,10,153
192,11,136
192,12,130
192,13,142
192,14,177
192,15,152
192,16,146
192,17,149
192,18,160
192,19,177
192,20,164
192,21,173
192,22,176
192,23,171
192,24,152
192,25,166
192,26,169
192,27,214
192,28,127
192,29,172
192,30,147
192,31,135
192,32,147
192,33,149
192,34,134
192,35,108
192,36,134
192,37,103
192,38,100
192,39,73
192,40,83
192,41,89
192,42,79
192,43,80
192,44,71
192,45,83
193,1,13
193,2,15
193,3,14
193,4,6
193,5,10
193,6,14
193,7,9
193,8,7
193,9,10
193,10,6
193,11,12
193,12,7
193,13,9
193,14,9
193,15,14
193,16,13
193,17,6
193,18,9
193,19,23
193,20,12
193,21,16
193,22,20
193,23,26
193,24,19
193,25,20
193,26,11
193,27,13
193,28,13
193,29,11
193,30,9
193,31,8
193,32,7
193,33,6
193,34,9
193,35,5
193,36,8
193,37,7
193,38,11
193,39,14
193,40,8
193,41,10
