category_min_id,week_num,region,media_cnt
8,31,Tokyo,341
8,32,Niigata,183
8,32,Tokyo,325
8,33,Niigata,202
8,33,Tokyo,347
8,34,Niigata,188
8,34,Tokyo,344
8,35,Niigata,203
8,35,Tokyo,350
8,36,Niigata,208
8,36,Tokyo,359
8,37,Niigata,205
8,37,Tokyo,365
8,38,Niigata,228
8,38,Tokyo,383
8,39,Niigata,211
8,39,Tokyo,368
8,40,Niigata,222
8,40,Tokyo,395
8,41,Niigata,206
8,41,Tokyo,377
8,42,Niigata,207
8,42,Tokyo,380
8,43,Niigata,189
8,43,Tokyo,353
8,44,Niigata,203
8,44,Tokyo,361
8,45,Niigata,202
8,45,Tokyo,349
8,46,Niigata,199
8,46,Tokyo,344
9,1,Niigata,42
9,1,Tokyo,106
9,2,Niigata,47
9,2,Tokyo,94
9,3,Niigata,48
9,3,Tokyo,80
9,4,Niigata,46
9,4,Tokyo,88
9,5,Niigata,51
9,5,Tokyo,88
9,6,Niigata,46
9,6,Tokyo,95
9,7,Niigata,45
9,7,Tokyo,81
9,8,Niigata,47
9,8,Tokyo,77
9,9,Niigata,47
9,9,Tokyo,89
9,10,Niigata,42
9,10,Tokyo,85
9,11,Niigata,41
9,11,Tokyo,78
9,12,Niigata,51
9,12,Tokyo,98
9,13,Niigata,37
9,13,Tokyo,81
9,14,Niigata,37
9,14,Tokyo,83
9,15,Niigata,46
9,15,Tokyo,83
9,16,Niigata,43
9,16,Tokyo,71
9,17,Niigata,40
9,17,Tokyo,79
9,18,Niigata,41
9,18,Tokyo,87
9,19,Niigata,38
9,19,Tokyo,75
9,20,Niigata,44
9,20,Tokyo,84
9,21,Niigata,39
9,21,Tokyo,74
9,22,Niigata,40
9,22,Tokyo,81
9,23,Niigata,44
9,23,Tokyo,72
9,24,Niigata,40
9,24,Tokyo,81
9,25,Niigata,41
9,25,Tokyo,72
9,26,Niigata,42
9,26,Tokyo,72
9,27,Niigata,44
9,27,Tokyo,85
9,28,Niigata,39
9,28,Tokyo,75
9,29,Niigata,38
9,29,Tokyo,78
9,30,Niigata,37
9,30,Tokyo,80
9,31,Niigata,38
9,31,Tokyo,75
9,32,Niigata,38
9,32,Tokyo,73
9,33,Niigata,37
9,33,Tokyo,78
9,34,Niigata,37
9,34,Tokyo,81
9,35,Niigata,36
9,35,Tokyo,75
9,36,Niigata,37
9,36,Tokyo,81
9,37,Niigata,36
9,37,Tokyo,76
9,38,Niigata,39
9,38,Tokyo,89
9,39,Niigata,37
9,39,Tokyo,70
9,40,Niigata,37
9,40,Tokyo,80
9,41,Niigata,38
9,41,Tokyo,90
9,42,Niigata,36
9,42,Tokyo,79
9,43,Niigata,43
9,43,Tokyo,68
9,44,Niigata,44
9,44,Tokyo,80
9,45,Niigata,40
9,45,Tokyo,83
9,46,Niigata,39
9,46,Tokyo,74
10,1,Tokyo,256
10,2,Tokyo,273
10,3,Tokyo,245
10,4,Tokyo,256
10,5,Tokyo,261
10,6,Tokyo,261
10,7,Tokyo,259
10,8,Tokyo,227
10,9,Tokyo,243
10,10,Tokyo,246
10,11,Tokyo,241
10,12,Tokyo,284
10,13,Tokyo,233
10,14,Tokyo,221
10,15,Tokyo,230
10,16,Tokyo,233
10,17,Tokyo,259
10,18,Tokyo,221
10,19,Tokyo,226
10,20,Tokyo,226
10,21,Tokyo,221
10,22,Tokyo,223
10,23,Tokyo,221
10,24,Tokyo,225
10,25,Tokyo,218
10,26,Tokyo,220
10,27,Tokyo,227
10,28,Tokyo,221
10,29,Tokyo,208
10,30,Tokyo,225
10,31,Tokyo,189
10,32,Tokyo,184
10,33,Tokyo,213
10,34,Tokyo,186
10,35,Tokyo,197
10,36,Tokyo,203
10,37,Tokyo,201
10,38,Tokyo,206
10,39,Tokyo,209
10,40,Tokyo,214
10,41,Tokyo,213
10,42,Tokyo,192
10,43,Tokyo,186
10,44,Tokyo,195
10,45,Tokyo,203
10,46,Tokyo,189
12,1,Niigata,35
12,1,Tokyo,50
12,2,Niigata,34
12,2,Tokyo,62
12,3,Niigata,30
12,3,Tokyo,50
12,4,Niigata,31
12,4,Tokyo,56
12,5,Niigata,29
12,5,Tokyo,58
12,6,Niigata,29
12,6,Tokyo,53
12,7,Niigata,28
12,7,Tokyo,43
12,8,Niigata,27
12,8,Tokyo,45
12,9,Niigata,30
12,9,Tokyo,50
12,10,Niigata,27
12,10,Tokyo,40
12,11,Niigata,24
12,11,Tokyo,47
12,12,Niigata,28
12,12,Tokyo,50
12,13,Niigata,24
12,13,Tokyo,49
12,14,Niigata,27
12,14,Tokyo,44
12,15,Niigata,29
12,15,Tokyo,42
12,16,Niigata,28
12,16,Tokyo,46
12,17,Niigata,27
12,17,Tokyo,55
12,18,Niigata,29
12,18,Tokyo,42
12,19,Niigata,23
12,19,Tokyo,51
12,20,Niigata,25
12,20,Tokyo,49
12,21,Niigata,26
12,21,Tokyo,44
12,22,Niigata,24
12,22,Tokyo,43
12,23,Niigata,29
12,23,Tokyo,40
12,24,Niigata,28
12,24,Tokyo,41
12,25,Niigata,31
12,25,Tokyo,40
12,26,Niigata,30
12,26,Tokyo,42
12,27,Niigata,27
12,27,Tokyo,48
12,28,Niigata,30
12,28,Tokyo,49
12,29,Niigata,28
12,29,Tokyo,45
12,30,Niigata,26
12,30,Tokyo,44
12,31,Niigata,29
12,31,Tokyo,46
12,32,Niigata,21
12,32,Tokyo,36
12,33,Niigata,20
12,33,Tokyo,46
12,34,Niigata,23
12,34,Tokyo,40
12,35,Niigata,19
12,35,Tokyo,42
12,36,Niigata,24
12,36,Tokyo,54
12,37,Niigata,21
12,37,Tokyo,44
12,38,Niigata,27
12,38,Tokyo,52
12,39,Niigata,21
12,39,Tokyo,44
12,40,Niigata,26
12,40,Tokyo,57
12,41,Niigata,26
12,41,Tokyo,48
12,42,Niigata,25
12,42,Tokyo,45
12,43,Niigata,22
12,43,Tokyo,38
12,44,Niigata,26
12,44,Tokyo,50
12,45,Niigata,25
12,45,Tokyo,48
12,46,Niigata,17
12,46,Tokyo,48
13,1,Niigata,11
13,1,Tokyo,1
13,2,Niigata,11
13,2,Tokyo,1
13,3,Niigata,9
13,4,Niigata,10
13,4,Tokyo,1
13,5,Niigata,9
13,6,Niigata,9
13,6,Tokyo,1
13,7,Niigata,10
13,7,Tokyo,1
13,8,Niigata,9
13,8,Tokyo,1
13,9,Niigata,8
13,9,Tokyo,1
13,10,Niigata,9
13,10,Tokyo,1
13,11,Niigata,8
13,11,Tokyo,1
13,12,Niigata,14
13,12,Tokyo,1
13,13,Niigata,8
13,13,Tokyo,1
13,14,Niigata,9
13,14,Tokyo,1
13,15,Niigata,6
13,15,Tokyo,1
13,16,Niigata,7
13,16,Tokyo,1
13,17,Niigata,8
13,18,Niigata,10
13,18,Tokyo,1
13,19,Niigata,8
13,20,Niigata,6
13,21,Niigata,6
13,21,Tokyo,1
13,22,Niigata,7
13,23,Niigata,5
13,24,Niigata,9
13,25,Niigata,8
13,26,Niigata,5
13,27,Niigata,6
13,28,Niigata,7
13,29,Niigata,11
13,30,Niigata,11
13,30,Tokyo,1
13,31,Niigata,7
13,31,Tokyo,1
13,32,Niigata,8
13,33,Niigata,10
13,33,Tokyo,1
13,34,Niigata,11
13,34,Tokyo,1
13,35,Niigata,9
13,35,Tokyo,1
13,36,Niigata,10
13,37,Niigata,8
13,38,Niigata,8
13,39,Niigata,8
13,40,Niigata,8
13,41,Niigata,9
13,42,Niigata,7
13,43,Niigata,8
13,44,Niigata,11
13,45,Niigata,6
13,46,Niigata,13
14,1,Niigata,55
14,1,Tokyo,420
14,2,Niigata,55
14,2,Tokyo,427
14,3,Niigata,53
14,3,Tokyo,395
14,4,Niigata,48
14,4,Tokyo,394
14,5,Niigata,49
14,5,Tokyo,381
14,6,Niigata,51
14,6,Tokyo,396
14,7,Niigata,40
14,7,Tokyo,415
14,8,Niigata,44
14,8,Tokyo,399
14,9,Niigata,48
14,9,Tokyo,383
14,10,Niigata,49
14,10,Tokyo,395
14,11,Niigata,47
14,11,Tokyo,376
14,12,Niigata,55
14,12,Tokyo,420
14,13,Niigata,42
14,13,Tokyo,369
14,14,Niigata,38
14,14,Tokyo,360
14,15,Niigata,27
14,15,Tokyo,359
14,16,Niigata,26
14,16,Tokyo,349
14,17,Niigata,18
14,17,Tokyo,368
14,18,Niigata,24
14,18,Tokyo,345
14,19,Niigata,37
14,19,Tokyo,352
14,20,Niigata,29
14,20,Tokyo,337
14,21,Niigata,26
14,21,Tokyo,374
14,22,Niigata,22
14,22,Tokyo,359
14,23,Niigata,38
14,23,Tokyo,352
14,24,Niigata,24
14,24,Tokyo,354
14,25,Niigata,30
14,25,Tokyo,342
14,26,Niigata,26
14,26,Tokyo,339
14,27,Niigata,38
14,27,Tokyo,312
14,28,Niigata,39
14,28,Tokyo,340
14,29,Niigata,24
14,29,Tokyo,334
14,30,Niigata,27
14,30,Tokyo,324
14,31,Niigata,29
14,31,Tokyo,319
14,32,Niigata,33
14,32,Tokyo,298
14,33,Niigata,28
14,33,Tokyo,339
14,34,Niigata,30
14,34,Tokyo,344
14,35,Niigata,24
14,35,Tokyo,333
14,36,Niigata,40
14,36,Tokyo,342
14,37,Niigata,36
14,37,Tokyo,333
14,38,Niigata,34
14,38,Tokyo,362
14,39,Niigata,30
14,39,Tokyo,358
14,40,Niigata,35
14,40,Tokyo,342
14,41,Niigata,32
14,41,Tokyo,351
14,42,Niigata,28
14,42,Tokyo,403
14,43,Niigata,26
14,43,Tokyo,325
14,44,Niigata,30
14,44,Tokyo,321
14,45,Niigata,35
14,45,Tokyo,329
14,46,Niigata,33
14,46,Tokyo,341
15,1,Niigata,18
15,1,Tokyo,50
15,2,Niigata,19
15,2,Tokyo,52
15,3,Niigata,18
15,3,Tokyo,48
15,4,Niigata,17
15,4,Tokyo,52
15,5,Niigata,16
15,5,Tokyo,46
15,6,Niigata,20
15,6,Tokyo,57
15,7,Niigata,17
15,7,Tokyo,45
15,8,Niigata,17
15,8,Tokyo,45
15,9,Niigata,14
15,9,Tokyo,54
15,10,Niigata,13
15,10,Tokyo,44
15,11,Niigata,10
15,11,Tokyo,45
15,12,Niigata,14
15,12,Tokyo,52
15,13,Niigata,13
15,13,Tokyo,46
15,14,Niigata,16
15,14,Tokyo,41
15,15,Niigata,12
15,15,Tokyo,41
15,16,Niigata,14
15,16,Tokyo,44
15,17,Niigata,14
15,17,Tokyo,52
15,18,Niigata,14
15,18,Tokyo,44
15,19,Niigata,17
15,19,Tokyo,54
15,20,Niigata,15
15,20,Tokyo,45
15,21,Niigata,15
15,21,Tokyo,44
15,22,Niigata,16
15,22,Tokyo,42
15,23,Niigata,13
15,23,Tokyo,37
15,24,Niigata,13
15,24,Tokyo,47
15,25,Niigata,16
15,25,Tokyo,48
15,26,Niigata,13
15,26,Tokyo,44
15,27,Niigata,11
15,27,Tokyo,40
